Tanggal,Parent Code, Net Profit (Rp) ,Child Code,Metode Pembayaran,Nama Patung,Child Product,Nama Artisan,Tour Guide,Jumlah, Selling Price per Unit (Rp) , Total Sales (Rp) , Cost Price per Unit (Rp) , Total Cost Price (Rp) ,Artisan Commission (%), Artisan Commission (Rp) ,Guide Commission (%), Guide Commission (Rp) 
9/1/2025,PRD-00003," Rp681,400 ",ITEM-00001,Cash,Dragon Statue,Naga Hijau Kecil,I Ketut Ardana,Ketut Yasa Pramana,1," Rp1,900,000 "," Rp1,900,000 "," Rp1,021,000 "," Rp1,021,000 ",8.5," Rp161,500 ",1.9," Rp36,100 "
9/2/2025,PRD-00002," Rp981,150 ",ITEM-00002,QRIS,Garuda Wisnu Statue,Garuda Wisnu Ukiran Detail,I Nyoman Sudiarta,Kadek Arya Wibawa,3," Rp950,000 "," Rp2,850,000 "," Rp565,000 "," Rp1,695,000 ",5," Rp142,500 ",1.1," Rp31,350 "
9/3/2025,PRD-00005," Rp2,939,200 ",ITEM-00003,QRIS,Buddha Statue,Kepala Buddha Putih,Kadek Agus Wijaya,Putu Gede Mahardika,2," Rp4,200,000 "," Rp8,400,000 "," Rp2,407,000 "," Rp4,814,000 ",5.8," Rp487,200 ",1.9," Rp159,600 "
9/4/2025,PRD-00006," Rp352,450 ",ITEM-00004,Debit,Rangda Statue,Rangda Berdiri Full Body,I Gusti Ngurah Artawan,Made Surya Dharma,1," Rp950,000 "," Rp950,000 "," Rp532,000 "," Rp532,000 ",5.3," Rp50,350 ",1.6," Rp15,200 "
9/5/2025,PRD-00007," Rp2,054,400 ",ITEM-00005,Cash,Modern Abstract Statue,Abstrak Dua Sejoli,I Ketut Ardana,Komang Adi Putra,3," Rp1,800,000 "," Rp5,400,000 "," Rp928,000 "," Rp2,784,000 ",8.5," Rp459,000 ",1.9," Rp102,600 "
9/6/2025,PRD-00008," Rp1,802,000 ",ITEM-00006,Cash,Moai Head Statue,Moai Batu Hitam,I Made Sudarma,Nyoman Budi Santosa,2," Rp2,200,000 "," Rp4,400,000 "," Rp1,134,000 "," Rp2,268,000 ",6.1," Rp268,400 ",1.4," Rp61,600 "
9/7/2025,PRD-00009," Rp4,213,500 ",ITEM-00007,Credit Card,Turtle Statue,Keluarga Penyu Ukir,Ni Luh Putu Ariani,Made Surya Dharma,3," Rp3,500,000 "," Rp10,500,000 "," Rp1,770,000 "," Rp5,310,000 ",7.7," Rp808,500 ",1.6," Rp168,000 "
9/8/2025,PRD-00010," Rp4,200,000 ",ITEM-00008,Credit Card,Cat Statue,Kucing Tidur Kayu,I Made Sudarma,Putu Gede Mahardika,3," Rp4,200,000 "," Rp12,600,000 "," Rp2,464,000 "," Rp7,392,000 ",6.1," Rp768,600 ",1.9," Rp239,400 "
9/9/2025,PRD-00005," Rp2,843,100 ",ITEM-00009,Credit Card,Buddha Statue,Buddha Ketawa Kayu Suwar,Ni Luh Putu Ariani,Dewa Gede Saputra,3," Rp2,700,000 "," Rp8,100,000 "," Rp1,512,000 "," Rp4,536,000 ",7.7," Rp623,700 ",1.2," Rp97,200 "
9/10/2025,PRD-00007," Rp3,207,000 ",ITEM-00010,Cash,Modern Abstract Statue,Abstrak Minimalis Putih,I Made Sudarma,Bagus Rai Pratama,3," Rp3,000,000 "," Rp9,000,000 "," Rp1,712,000 "," Rp5,136,000 ",6.1," Rp549,000 ",1.2," Rp108,000 "
9/11/2025,PRD-00011," Rp5,101,200 ",ITEM-00011,Credit Card,Tiger Statue,Harimau Sumatra Ukir,Ni Luh Putu Ariani,Made Surya Dharma,3," Rp4,200,000 "," Rp12,600,000 "," Rp2,109,000 "," Rp6,327,000 ",7.7," Rp970,200 ",1.6," Rp201,600 "
9/12/2025,PRD-00012," Rp673,600 ",ITEM-00012,Credit Card,Angel Statue,Malaikat Bersayap Lebar,I Ketut Ardana,Bagus Rai Pratama,1," Rp2,200,000 "," Rp2,200,000 "," Rp1,313,000 "," Rp1,313,000 ",8.5," Rp187,000 ",1.2," Rp26,400 "
9/13/2025,PRD-00013," Rp2,895,200 ",ITEM-00013,Credit Card,Garuda Bird Statue,Garuda Terbang Tinggi,I Wayan Suartana,Made Surya Dharma,2," Rp4,200,000 "," Rp8,400,000 "," Rp2,450,000 "," Rp4,900,000 ",5.6," Rp470,400 ",1.6," Rp134,400 "
